gene,log2FoldChange,pvalue,t_statistic,mean_group1,mean_group2,padj,abs_log2FC,significant
DCST1,-0.28112823806838816,1.2345988816113257e-05,-4.3955739491036905,0.7799432522123895,1.0610714902807776,2.070099366476606e-05,0.28112823806838816,False
COL6A1,0.17885236768669088,0.029348783338951526,2.182203552186876,12.344804203539823,12.165951835853132,0.0377602494143723,0.17885236768669088,False
WBP2,-0.26418434626999776,1.5359686599780972e-18,-8.978644947004652,11.317045243362832,11.58122958963283,4.924971538365737e-18,0.26418434626999776,False
COL6A3,-0.15979138721114872,0.06879578520782433,-1.8219094467768868,13.269303429203541,13.42909481641469,0.084930738671572,0.15979138721114872,False
COL6A2,0.1605718644278351,0.05437060541974726,1.9263519740776824,12.87359756637168,12.713025701943845,0.06789202963917026,0.1605718644278351,False
POM121,0.3755256075708626,4.452814124490859e-25,10.657719043671124,11.615391482300884,11.239865874730022,1.8758683463303317e-24,0.3755256075708626,False
RFXANK,0.25259454858655594,1.7127537209673997e-11,6.814812158387129,9.86238418141593,9.609789632829374,3.986191729081314e-11,0.25259454858655594,False
COL6A6,-0.604245425180145,9.351033719217215e-06,-4.4568308797712,5.415006194690266,6.019251619870411,1.5818038081071045e-05,0.604245425180145,False
WAPAL,-0.04680738116171845,0.0747783696553351,-1.783860610606546,10.220916592920354,10.267723974082072,0.09190194025658714,0.04680738116171845,False
KLK12,0.02686058936523983,0.9054828713324318,0.11877105019886729,3.5472320796460175,3.5203714902807777,0.916981928845478,0.02686058936523983,False
KLK13,1.2754225857241157,1.3712544170816236e-11,6.848338324299925,5.003955199115044,3.7285326133909282,3.2039172012906086e-11,1.2754225857241157,True
KLK10,1.6197698907184765,2.0077223889302e-16,8.378533134654576,8.010364491150442,6.390594600431966,5.865630605478322e-16,1.6197698907184765,True
KLK11,0.10065854421911613,0.6194583199561571,0.49678776305313455,6.9587550884955744,6.858096544276458,0.6532240873964995,0.10065854421911613,False
